userId,hotelID,Hotel_Name,Average_Rating,Predicted_Rating,Hybrid_Score,Normalized_Hybrid_Score,Rank,Number_of_Reviewers
shinji,39_17,Gold Coast Hotel Nha Trang,9.09,10.048946,20.896196553964547,1.0202191682630548,3,7
shinji,33_21,Khách sạn Long Hồ (Long Hồ Hotel),9.2,10.388015,20.214143415006003,0.6686625719283457,4,6
shinji,9_14,The Pool Villa Cam Ranh - All Private Pool Villas,8.32,10.557709,18.916874608666742,0.0,5,5
shirley,12_20,Khách sạn Bình An (Binh An Hotel Nha Trang),9.49,9.525317,42.090858410495734,10.0,1,82
shirley,15_12,Hà Nhung Hotel Nha Trang,9.05,8.369418,25.480881330785813,3.633693572864588,2,20
shirley,29_4,Khách sạn Mỹ Ca (My Ca Hotel),8.85,8.28255,22.964104327938077,2.669058069034263,3,15
shirley,10_7,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Biệt thự hồ bơi riêng Cam Ranh Mystery Villa & Spa)",8.91,8.300404,20.625728089066925,1.772800379625932,4,11
shirley,33_21,Khách sạn Long Hồ (Long Hồ Hotel),9.2,8.222586,16.000412922492796,0.0,5,6
shogbana,4_1,Khu nghỉ dưỡng Khách sạn & Spa Champa Island Nha Trang (Champa Island Nha Trang - Resort Hotel & Spa),9.36,9.908488,51.1184389352274,10.0,1,173
shogbana,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,10.147208,37.43182789652569,5.562270003780416,2,39
shogbana,10_7,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Biệt thự hồ bơi riêng Cam Ranh Mystery Villa & Spa)",8.91,9.970226,24.77508160254921,1.458462090740726,3,11
shogbana,13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),9.2,10.101656,24.22271307411853,1.279362795768943,4,10
shogbana,33_21,Khách sạn Long Hồ (Long Hồ Hotel),9.2,10.420301,20.276970323209383,0.0,5,6
shoulan,9_24,Khu nghỉ dưỡng Selectum Noa Cam Ranh (Selectum Noa Resort Cam Ranh),9.08,9.904263,52.42628070274224,10.0,1,198
shoulan,12_7,Gran Meliá Nha Trang,9.49,9.943484,42.385890460292245,6.778076312478069,2,70
shoulan,10_7,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Biệt thự hồ bơi riêng Cam Ranh Mystery Villa & Spa)",8.91,10.386946,25.810590501765542,1.4591245312645262,3,11
shoulan,13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),9.2,9.91622,23.778056369765192,0.8068919280036007,4,10
shoulan,28_24,InterContinental Residences Nha Trang,9.94,10.225612,21.2635617304244,0.0,5,7
shuyu,12_7,Gran Meliá Nha Trang,9.49,10.470181,44.63103184046128,10.0,1,70
shuyu,13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),9.2,10.212311,24.488051770124155,1.6838239103758519,2,10
shuyu,39_17,Gold Coast Hotel Nha Trang,9.09,10.448288,21.726604031498855,0.5437400907765586,3,7
shuyu,28_24,InterContinental Residences Nha Trang,9.94,10.37048,21.564806053572052,0.47694061668256016,4,7
shuyu,33_21,Khách sạn Long Hồ (Long Hồ Hotel),9.2,10.488453,20.409586968137162,0.0,5,6
shweta,2_23,The Anam Cam Ranh,9.45,9.914984,51.43284596672561,10.0,1,178
shweta,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,9.94849,36.698780887312076,5.509852814618821,2,39
shweta,15_12,Hà Nhung Hotel Nha Trang,9.05,9.777188,29.766869160504577,3.397380542935711,3,20
shweta,33_21,Khách sạn Long Hồ (Long Hồ Hotel),9.2,9.990692,19.440989228728736,0.25061008533618695,4,6
shweta,9_14,The Pool Villa Cam Ranh - All Private Pool Villas,8.32,10.391256,18.61863193074914,0.0,5,5
si,4_2,The Sea Luxury Nha Trang Apartment,9.43,9.833305,35.76949547784963,10.0,1,37
si,13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),9.2,10.004613,23.990014033444183,3.517200263074831,2,10
si,18_13,The Arena Cam Ranh Beach seaside,8.65,10.312518,22.658918267076054,2.7846359880886955,3,8
si,33_21,Khách sạn Long Hồ (Long Hồ Hotel),9.2,9.957174,19.37576652851559,0.9777639854901587,4,6
si,15_29,"Căn hộ 65 m² 1 phòng ngủ, 1 phòng tắm riêng ở Xương Huân (Coastal House Nha Trang)",9.36,9.822264,17.599134025356996,0.0,5,5
siahn,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,6.6468544,24.51944463298839,10.0,1,39
siahn,10_7,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Biệt thự hồ bơi riêng Cam Ranh Mystery Villa & Spa)",8.91,6.717618,16.692653610573903,3.4399790592659523,2,11
siahn,16_15,HANZ Muong Thanh Vien Trieu Condo Hotel,10.0,6.4782805,15.534238292993079,2.469053846156966,3,10
siahn,39_17,Gold Coast Hotel Nha Trang,9.09,6.482838,13.480682965080062,0.7478674856823019,4,7
siahn,9_14,The Pool Villa Cam Ranh - All Private Pool Villas,8.32,7.025719,12.588398843462768,0.0,5,5
sieun,12_8,The Moon Villas (The Trang Villas),8.87,9.124389,41.05801248454752,10.0,1,89
sieun,23_5,Residence Inn Villa Cam Ranh,9.49,8.262748,30.27108580198588,5.9545739709602294,2,38
sieun,16_15,HANZ Muong Thanh Vien Trieu Condo Hotel,10.0,8.388711,20.115250393375685,2.1458263899598187,3,10
sieun,6_6,Hien Luong Hotel Nha Trang,8.53,8.163486,18.797120081431665,1.6514873784390378,4,9
sieun,15_29,"Căn hộ 65 m² 1 phòng ngủ, 1 phòng tắm riêng ở Xương Huân (Coastal House Nha Trang)",9.36,8.033172,14.393511378536582,0.0,5,5
siew,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,10.29638,37.982104792481344,10.0,1,39
siew,10_7,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Biệt thự hồ bơi riêng Cam Ranh Mystery Villa & Spa)",8.91,10.47969,26.041050369991815,3.968245657355731,2,11
siew,16_15,HANZ Muong Thanh Vien Trieu Condo Hotel,10.0,10.333566,24.778808371896417,3.330652578545142,3,10
siew,28_24,InterContinental Residences Nha Trang,9.94,10.435164,21.699314454915893,1.7751156762167688,4,7
siew,9_14,The Pool Villa Cam Ranh - All Private Pool Villas,8.32,10.149309,18.18512079055219,0.0,5,5
siheon,29_14,Moonlight Bay Panorama Ocean View,9.68,8.71568,37.62984532974086,10.0,1,74
siheon,2_3,ELITE HOTEL NHA TRANG,9.82,8.858913,25.605553159529112,4.105150199324,2,17
siheon,39_17,Gold Coast Hotel Nha Trang,9.09,8.921898,18.552565099314563,0.6474576655443766,3,7
siheon,28_24,InterContinental Residences Nha Trang,9.94,8.795707,18.290158002226114,0.5188138832683701,4,7
siheon,33_21,Khách sạn Long Hồ (Long Hồ Hotel),9.2,8.855436,17.231883419273107,0.0,5,6
sijin,14_14,Wyndham Grand KN Paradise Cam Ranh,8.88,7.922865,36.07975144686603,10.0,1,94
sijin,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,8.229884,30.359050541982096,7.207382863299971,2,39
sijin,6_14,CAM RANH NHA TRANG SEAVIEW RESORT,9.12,7.9905005,27.43927630319391,5.782065981661565,3,30
sijin,10_7,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Biệt thự hồ bơi riêng Cam Ranh Mystery Villa & Spa)",8.91,7.866741,19.54811747138657,1.929918185695978,4,11
sijin,33_21,Khách sạn Long Hồ (Long Hồ Hotel),9.2,8.014071,15.594662998100189,0.0,5,6
simon,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,6.6479273,24.523402371279058,10.0,1,39
simon,13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),9.2,6.3637404,15.259583128423058,2.5391689335218444,2,10
simon,39_17,Gold Coast Hotel Nha Trang,9.09,6.431325,13.373564287373718,1.020220042964052,3,7
simon,33_21,Khách sạn Long Hồ (Long Hồ Hotel),9.2,6.64833,12.937053233100176,0.6686657704541826,4,6
simon,9_14,The Pool Villa Cam Ranh - All Private Pool Villas,8.32,6.7569323,12.106797357289732,0.0,5,5
sin,12_12,Lumina Villas Cam Ranh,9.16,9.911103,48.68982979725054,10.0,1,135
sin,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,9.381702,34.607969313168674,5.018122318019388,2,39
sin,13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),9.2,9.52623,22.842901545044306,0.8558790826696706,3,10
sin,16_15,HANZ Muong Thanh Vien Trieu Condo Hotel,10.0,9.3128395,22.33121383269892,0.6748543099019839,4,10
sin,39_17,Gold Coast Hotel Nha Trang,9.09,9.821704,20.423659122254293,0.0,5,7
singh,2_7,The Swan Hotel,9.01,9.912115,44.37987783334883,10.0,1,87
singh,12_7,Gran Meliá Nha Trang,9.49,9.742055,41.527261550657265,8.76805376951608,2,70
singh,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,9.815098,36.20671264714081,6.470292866459086,3,39
singh,2_3,ELITE HOTEL NHA TRANG,9.82,9.675024,27.96441622077281,2.9107303432393987,4,17
singh,39_17,Gold Coast Hotel Nha Trang,9.09,10.206834,21.22451429470617,0.0,5,7
sj,4_19,PANAMA Nha Trang Hotel,9.27,9.526979,38.683757104799476,10.0,1,57
sj,12_7,Gran Meliá Nha Trang,9.49,8.958409,38.18683109342444,9.750324701317904,2,70
sj,10_7,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Biệt thự hồ bơi riêng Cam Ranh Mystery Villa & Spa)",8.91,9.971327,24.77781634211397,3.0131049011264714,3,11
sj,16_15,HANZ Muong Thanh Vien Trieu Condo Hotel,10.0,9.105076,21.83301830605063,1.5335217994528882,4,10
sj,28_24,InterContinental Residences Nha Trang,9.94,9.031688,18.78086667078178,0.0,5,7
snaga,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,10.130254,37.36928507756432,10.0,1,39
snaga,6_14,CAM RANH NHA TRANG SEAVIEW RESORT,9.12,10.314687,35.420502404334776,8.818054279005503,2,30
snaga,10_7,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Biệt thự hồ bơi riêng Cam Ranh Mystery Villa & Spa)",8.91,10.664649,26.50065724186995,3.4081268578851387,3,11
snaga,16_15,HANZ Muong Thanh Vien Trieu Condo Hotel,10.0,10.572592,25.351967854364418,2.7114414219129612,4,10
snaga,28_24,InterContinental Residences Nha Trang,9.94,10.041814,20.881364874343593,0.0,5,7
so,9_24,Khu nghỉ dưỡng Selectum Noa Cam Ranh (Selectum Noa Resort Cam Ranh),9.08,9.811966,51.93772666284734,10.0,1,198
so,12_7,Gran Meliá Nha Trang,9.49,9.876694,42.101183595755394,6.811232120983649,2,70
so,10_7,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Biệt thự hồ bơi riêng Cam Ranh Mystery Villa & Spa)",8.91,10.300765,25.596439539678492,1.4607957595065655,3,11
so,13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),9.2,9.8422575,23.60070273218253,0.8138264550154107,4,10
so,28_24,InterContinental Residences Nha Trang,9.94,10.142268,21.090253782111176,0.0,5,7
