Hotel ID,Hotel Name,Average Rating,Predicted Rating,Avg Normalized Hybrid Score,Number of Visitors,Times Recommended
5_22,BN Hotel Nha Trang,9.13,9.79,0.0,6.0,1
1_27,Khách Sạn Smile (Smile Hotel),9.14,9.75,10.0,169.0,1
1_11,RIS Panorama Nha Trang,9.26,9.72,10.0,183.0,1
2_24,DB Hotel Nha Trang,9.4,9.91,1.43,10.0,1
5_11,Ocean Waves Resort Cam Ranh,9.26,9.51,0.29,7.0,1
2_26,Khách Sạn Starcity Nha Trang (StarCity Nha Trang Hotel),9.12,9.79,10.0,146.0,1
2_17,Nha Trang Horizon Hotel,9.13,9.75,10.0,93.0,1
10_12,Sata Hotel,9.41,9.68,10.0,205.0,1
2_11,Maris Hotel Nha Trang,9.69,9.54,10.0,146.0,1
5_6,Khách sạn và Spa Florida Nha Trang (Florida Nha Trang Hotel And Spa),9.21,9.71,10.0,78.0,1
1_18,Pavillon Boutique Hotel & Apartment Nha Trang,9.35,9.75,10.0,48.0,1
5_13,Virgo Hotel,9.53,9.76,10.0,177.0,1
2_18,TK Nha Trang Hotel,8.65,7.53,0.0,8.0,1
